Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
93,0.18140394812394472,HP_Cola,0.8185960518760553,1223779.7562703658,221998.47942160314,1112780.5165595643,4681367.930198439,3.8253353237886047,0.20106321,3.569968613088304,-9.777652448727576,7.153192041074795
94,0.1967130800779434,HP_Cola,0.8032869199220566,1001781.2768487628,197063.48053333504,903249.5365820951,3568587.4136388754,3.5622420743022323,0.21557974,3.3425675867152194,-8.751592298078013,6.572028295256989
95,0.21331418788808393,HP_Cola,0.786685812111916,804717.7963154275,171657.72320011395,718888.9347153705,2665337.8770567803,3.3121398448755572,0.23386842,3.123781449391962,-8.788801887794884,6.029819900501004
96,0.23131630462154926,HP_Cola,0.7686836953784507,633060.0731153135,146437.11671648212,559841.5147570726,1946448.9423414096,3.074667041885706,0.25056103,2.924713871463126,-7.68065384247932,5.127105659315796
97,0.25083766491820103,HP_Cola,0.749162335081799,486622.9563988315,122063.36607867444,425591.2733594943,1386607.427584337,2.84944926940086,0.26830449,2.7353720163005746,-6.510075579353508,4.170447471878732
98,0.2720064815342643,HP_Cola,0.7279935184657357,364559.590320157,99162.57147255875,314978.3045838777,961016.1542248428,2.6361016956950065,0.28712621,2.5550577197071696,-5.265882367804623,3.1719039207116335
99,0.2949617874204723,HP_Cola,0.7050382125795277,265397.0188475983,78281.97905535236,226256.0293199221,646037.8496409651,2.4342317500255954,0.30704706,2.382779179898267,-3.9359675287324634,2.1593511711616125
100,0.3198543488652873,HP_Cola,0.6801456511347127,187115.03979224592,59849.55921565114,157190.26018442033,419781.820321043,2.243442434061566,0.3320466,2.21703758107768,-3.6718494135198876,1.1909970858974308
101,0.3468476557005571,HP_Cola,0.6531523442994429,127265.48057659477,44141.733589596675,105194.61378179642,262591.5601366227,2.063336884023173,0.35446258,2.070594866464756,-2.1483013240616082,-0.3505264385193435
102,0.37611899507309876,HP_Cola,0.6238810049269012,83123.74698699809,31264.42018346024,67491.53689526796,157396.94635482624,1.8935256417091701,0.37799926,1.933003599488867,-0.4974255576323728,-2.0423116537463146
103,0.4078606158345457,HP_Cola,0.5921393841654543,51859.32680353784,21151.376966855907,41283.638320109894,89905.4094595583,1.7336401183947678,0.40263525,1.8038615669313622,1.2977914463638471,-3.892840217004654
104,0.4422809911969606,HP_Cola,0.5577190088030394,30707.94983668194,13581.542491394233,23917.178590984822,48621.77113944841,1.5833610318513565,0.42833402,1.6826891642524306,3.2560970050804383,-5.902940038554462
105,0.479606187947107,HP_Cola,0.520393812052893,17126.407345287706,8213.93094010277,13019.44187523632,24704.59254846358,1.4424853999085219,0.45504205,1.5688465041289152,5.398212746955374,-8.054395626840115
106,0.5200813512121307,HP_Cola,0.4799186487878693,8912.476405184936,4635.212771454815,6594.8700194575285,11685.150673227263,1.3111003207177403,0.48268701,1.461337574998062,7.747119859747355,-10.280804165356585
107,0.5639723145283226,HP_Cola,0.43602768547167736,4277.263633730121,2412.2582713625998,3071.134498048821,5090.280653769734,1.1900787722384547,0.51117625,1.3583286976769362,10.328348495909706,-12.386539850496328
108,0.6115673457876037,HP_Cola,0.38843265421239626,1865.0053623675212,1140.5763793427532,1294.7171726961446,2019.1461557209127,1.0826489813185942,0.54039544,1.2559062907171268,13.170337963548286,-13.795401032636127
109,0.6631790405287907,HP_Cola,0.33682095947120927,724.4289830247682,480.42611789361337,724.4289830247682,724.4289830247682,1,0.57020773,1.144688405,16.304814129543754,-12.639981707511042
