Edad,qx,px,lx,dx,Dx,Cx,Nx,Mx,Rx
100,0.30789126539328476,0.6921087346067152,244410.4797478308,75251.85188493943,1858.617048617835,545.0018618861691,4899.209345730866,1622.9950933118434,11875.210705771682
101,0.3333359427722275,0.6666640572277724,169158.6278628914,56386.65069673329,1225.1096129879595,388.9267312806288,3040.5922971130303,1077.9932314256744,6976.001360040817
102,0.3608834131813378,0.6391165868186621,112771.97716615807,40697.53603093102,777.8443287079039,267.3439202550998,1815.4826841250706,689.0665001450457,3935.409062927787
103,0.3907074551465474,0.6092925448534525,72074.44113522705,28160.021477054197,473.4602023238562,176.17564834583172,1037.6383554171668,421.7225798899458,2119.9263788027165
104,0.42299620855776543,0.5770037914422346,43914.41965817285,18575.633016421714,274.73883005784074,110.67950805529797,564.1781530933106,245.5469315441141,1082.2880233855494
105,0.4579533615173345,0.5420466384826654,25338.786641751136,11603.982519360465,150.97652057121704,65.847814386457,289.4393230354698,134.86742348881612,518.109870292239
106,0.4957994352717381,0.5042005647282619,13734.80412239067,6809.708127449234,77.93934806232113,36.80217595690119,138.46280246425275,69.01960910235913,228.67054725676914
107,0.5367731753323306,0.4632268246676694,6925.0959949414355,3717.2057666859196,37.42577457864274,19.1325255808096,60.52345440193162,32.21743314545793,90.2077447925164
108,0.5811330575607392,0.4188669424392608,3207.890228255516,1864.2110566653455,16.511069255993007,9.138217295554606,23.097679823288885,13.084907564648333,29.684290390584763
109,0.62915891871982,0.37084108128018,1343.6791715901704,845.3877347040151,6.586610567295878,3.9466902690937276,6.586610567295878,3.9466902690937276,6.586610567295878
